ship_city,ship_state,ship_postal_code,ship_country
BHATPARA,WEST BENGAL,743127.0,IN
Palampur,HIMACHAL PRADESH,176092.0,IN
PUNE,MAHARASHTRA,411001.0,IN
KANPUR,UTTAR PRADESH,208017.0,IN
MUMBAI,MAHARASHTRA,400074.0,IN
CHENNAI,TAMIL NADU,600128.0,IN
NEW DELHI,DELHI,110058.0,IN
PICHHORE SHIVPURI DISTRICT,MADHYA PRADESH,473995.0,IN
LUCKNOW,UTTAR PRADESH,226025.0,IN
SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,203205.0,IN
MUMBAI,MAHARASHTRA,400098.0,IN
THIRUVANANTHAPURAM,KERALA,695005.0,IN
MAVELIKKARA,KERALA,690107.0,IN
KOLKATA,WEST BENGAL,700022.0,IN
THANE,MAHARASHTRA,400615.0,IN
MYSURU,KARNATAKA,570001.0,IN
QADIAN,PUNJAB,143516.0,IN
BHUBANESWAR,ODISHA,751021.0,IN
KALABURGI,KARNATAKA,585101.0,IN
NAGPUR,MAHARASHTRA,440003.0,IN
Rangareddy,TELANGANA,509327.0,IN
HYDERABAD,TELANGANA,500013.0,IN
Ahmedabad,Gujarat,380054.0,IN
CHENNAI,TAMIL NADU,600063.0,IN
DHARMANAGAR,TRIPURA,799250.0,IN
JAIPUR,RAJASTHAN,302012.0,IN
Jhajjar,HARYANA,124103.0,IN
HYDERABAD,TELANGANA,500005.0,IN
BENGALURU,KARNATAKA,560105.0,IN
JAMSHEDPUR,JHARKHAND,831005.0,IN
VADODARA,Gujarat,390016.0,IN
MEERUT,UTTAR PRADESH,250001.0,IN
GORAKHPUR,UTTAR PRADESH,273004.0,IN
MUDBIDRI,KARNATAKA,574227.0,IN
VASCO DA GAMA,GOA,403802.0,IN
NADIAD,Gujarat,387001.0,IN
Janipur,JAMMU & KASHMIR,180007.0,IN
Nagpur,MAHARASHTRA,440015.0,IN
GHAZIABAD,UTTAR PRADESH,201009.0,IN
HYDERABAD,TELANGANA,500006.0,IN
VISAKHAPATNAM,ANDHRA PRADESH,530027.0,IN
KANPURKanpur,UTTAR PRADESH,208013.0,IN
HYDERABAD,TELANGANA,500098.0,IN
Hamirpur,UTTAR PRADESH,210504.0,IN
CHENNAI,TAMIL NADU,600086.0,IN
AMRITSAR,PUNJAB,143001.0,IN
NEW DELHI,DELHI,110039.0,IN
COIMBATORE,TAMIL NADU,641037.0,IN
PALI,RAJASTHAN,306401.0,IN
BASSEIN,MAHARASHTRA,401201.0,IN
THIRUVALLA,KERALA,689101.0,IN
IMPHAL,MANIPUR,795113.0,IN
AMBASAMUDRAM,TAMIL NADU,627401.0,IN
Pathanamthitta,KERALA,689698.0,IN
Chennai,TAMIL NADU,600002.0,IN
Vizianagaram,ANDHRA PRADESH,535002.0,IN
CHITTOOR district,ANDHRA PRADESH,517113.0,IN
RAE BARELI,UTTAR PRADESH,229001.0,IN
Benipur,BIHAR,847201.0,IN
KHATIMA,UTTARAKHAND,262308.0,IN
ERODE,TAMIL NADU,638005.0,IN
BOKARO STEEL CITY,JHARKHAND,827012.0,IN
Ulhasnagar,MAHARASHTRA,421001.0,IN
INDORE,MADHYA PRADESH,452010.0,IN
HALWARA,PUNJAB,141106.0,IN
THANE,MAHARASHTRA,401101.0,IN
BENGALURU,KARNATAKA,560056.0,IN
"Neelakudi, Thiruvarur",TAMIL NADU,610005.0,IN
JAIPUR,RAJASTHAN,302021.0,IN
CUTTACK,ODISHA,753009.0,IN
KOLKATA,WEST BENGAL,700032.0,IN
VIJAYAWADA,ANDHRA PRADESH,520015.0,IN
VASAI VIRAR,MAHARASHTRA,401209.0,IN
SHIMLA,HIMACHAL PRADESH,171009.0,IN
COIMBATORE,TAMIL NADU,641062.0,IN
DARBHANGA,BIHAR,846003.0,IN
BURDWAN,WEST BENGAL,713101.0,IN
HYDERABAD,TELANGANA,500055.0,IN
KOLKATA,WEST BENGAL,700017.0,IN
Secunderabad,TELANGANA,500094.0,IN
MIHAN,MAHARASHTRA,441110.0,IN
KHURJA,UTTAR PRADESH,203131.0,IN
NEW DELHI,DELHI,110029.0,IN
Choglamsar,LADAKH,194104.0,IN
BENGALURU,KARNATAKA,560033.0,IN
YAVATMAL,MAHARASHTRA,445001.0,IN
Allahabad,UTTAR PRADESH,212404.0,IN
REDHAKHOL,ODISHA,768106.0,IN
FARIDABAD,HARYANA,121002.0,IN
CHENNAI,TAMIL NADU,600071.0,IN
SHILLONG,MEGHALAYA,793018.0,IN
HYDERABAD,TELANGANA,500084.0,IN
